ID,Car Name,Manual/Motor,MPG,Annual Fuel Cost
34,2022 Hyundai Kona Electric,"Automatic (A1), Electricity",120,$600 
35,2021 Hyundai Kona Electric,"Automatic (A1), Electricity",120,$550 
36,2020 Hyundai Kona Electric,"Automatic (A1), Electricity",120,$600 
37,2019 Hyundai Kona Electric,"Automatic (A1), Electricity",120,$600 
38,2022 Chevrolet Bolt EV,"Automatic (variable gear ratios), Electricity",120,$600 
39,2022 Tesla Model S,"Automatic (A1), Electricity",120,$600 
40,2021 Tesla Model S Long Range,"Automatic (A1), Electricity",120,$600 
41,2019 Chevrolet Bolt EV,"Automatic (A1), Electricity",119,$600 
42,2018 Chevrolet Bolt EV,"Automatic (A1), Electricity",119,$600 
43,2017 Chevrolet Bolt EV,"Automatic (A1), Electricity",119,$600 
44,2016 Chevrolet Spark EV,"Automatic (A1), Electricity",119,$600 
45,2019 Volkswagen e-Golf,"Automatic (A1), Electricity",119,$600 
46,2018 Volkswagen e-Golf,"Automatic (A1), Electricity",119,$600 
47,2017 Volkswagen e-Golf,"Automatic (A1), Electricity",119,$600 
48,2018 BMW i3 (94Ah),"Automatic (A1), Electricity",118,$600 
49,2017 BMW i3 BEV (94 Amp-hour battery),"Automatic (A1), Electricity",118,$600 
50,2021 Chevrolet Bolt EV,"Automatic (variable gear ratios), Electricity",118,$600 
51,2020 Chevrolet Bolt EV,"Automatic (variable gear ratios), Electricity",118,$600 
52,2022 Kia EV6 RWD (Standard Range),"Automatic (A1), Electricity",117,$600 
53,2022 Kia EV6 RWD (Long Range),"Automatic (A1), Electricity",117,$600 
54,2020 Tesla Model S Long Range Plus,"Automatic (A1), Electricity",117,$600 
55,2016 Volkswagen e-Golf,"Automatic (A1), Electricity",116,$600 
56,2018 Tesla Model 3 Long Range  AWD,"Automatic (A1), Electricity",116,$600 
57,2018 Tesla Model 3 Long Range  AWD Performance,"Automatic (A1), Electricity",116,$600 
58,2019 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",116,$600 
59,2019 Tesla Model 3 Long Range AWD Performance,"Automatic (A1), Electricity",116,$600 
60,2020 Tesla Model 3 Long Range Performance AWD (19in),"Automatic (A1), Electricity",116,$600 
61,2022 Tesla Model S Plaid (19 inch wheels),"Automatic (A1), Electricity",116,$600 
62,2022 Lucid Air Dream P AWD w/19 inch wheels,"Automatic (A1), Electricity",116,$600 
63,2022 Lucid Air Dream R AWD w/21 inch wheels,"Automatic (A1), Electricity",116,$600 
64,2022 Chevrolet Bolt EUV,"Automatic (variable gear ratios), Electricity",115,$600 
65,2022 Hyundai Ioniq 5 RWD (Long Range),"Automatic (A1), Electricity",114,$650 
66,2021 Kandi K27,"Automatic (A1), Electricity",114,$600 
67,2020 Kia Soul Electric,"Automatic (A1), Electricity",114,$600 
68,2019 Honda Clarity EV,"Automatic (A1), Electricity",114,$600 
69,2018 Honda Clarity EV,"Automatic (A1), Electricity",114,$600 
70,2017 Honda Clarity EV,"Automatic (A1), Electricity",114,$650 
71,2016 Nissan Leaf (24 kW-hr battery pack),"Automatic (A1), Electricity",114,$600 
72,2021 BMW i3,"Automatic (A1), Electricity",113,$650 
73,2020 BMW i3,"Automatic (A1), Electricity",113,$650 
74,2019 BMW i3,"Automatic (A1), Electricity",113,$650 
75,2021 BMW i3s,"Automatic (A1), Electricity",113,$650 
76,2020 BMW i3s,"Automatic (A1), Electricity",113,$650 
77,2019 BMW i3s,"Automatic (A1), Electricity",113,$650 
78,2020 Tesla Model 3 Long Range Performance AWD (20in),"Automatic (A1), Electricity",113,$650 
79,2022 Tesla Model 3 Performance AWD,"Automatic (A1), Electricity",113,$650 
80,2021 Tesla Model 3 Performance AWD,"Automatic (A1), Electricity",113,$650 
81,2018 BMW i3s (94Ah),"Automatic (A1), Electricity",112,$650 
82,2016 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,$650 
83,2018 Nissan Leaf,"Automatic (A1), Electricity",112,$650 
84,2017 Nissan Leaf,"Automatic (A1), Electricity",112,$650 
85,2016 Nissan Leaf (30 kW-hr battery pack),"Automatic (A1), Electricity",112,$650 
86,2019 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",112,$650 
87,2022 Kia Niro Electric,"Automatic (A1), Electricity",112,$650 
88,2021 Kia Niro Electric,"Automatic (A1), Electricity",112,$650 
89,2020 Kia Niro Electric,"Automatic (A1), Electricity",112,$650 
90,2019 Kia Niro Electric,"Automatic (A1), Electricity",112,$650 
91,2019 Fiat 500e,"Automatic (A1), Electricity",112,$650 
92,2018 Fiat 500e,"Automatic (A1), Electricity",112,$650 
93,2017 Fiat 500e,"Automatic (A1), Electricity",112,$650 
94,2016 Fiat 500e,"Automatic (A1), Electricity",112,$650 
95,2017 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,$650 
96,2022 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",111,$650 
97,2021 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",111,$650 
98,2020 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",111,$650 
99,2020 Tesla Model Y Performance AWD (21in Wheels),"Automatic (A1), Electricity",111,$650 
100,2020 Tesla Model S Long Range,"Automatic (A1), Electricity",111,$650 
101,2019 Tesla Model S Long Range,"Automatic (A1), Electricity",111,$650 
102,2022 Tesla Model Y Performance AWD,"Automatic (A1), Electricity",111,$650 
103,2021 Tesla Model Y Performance AWD,"Automatic (A1), Electricity",111,$650 
104,2022 Lucid Air Dream P AWD w/21 inch wheels,"Automatic (A1), Electricity",111,$650 
105,2022 Hyundai Ioniq 5 RWD (Standard Range),"Automatic (A1), Electricity",110,$650 
106,2022 MINI Cooper SE Hardtop 2 door,"Automatic (A1), Electricity",110,$650 
107,2021 Tesla Model S Performance (19in Wheels),"Automatic (A1), Electricity",110,$650 
108,2020 Tesla Model S Standard Range,"Automatic (A1), Electricity",109,$650 
109,2019 Tesla Model S Standard Range,"Automatic (A1), Electricity",109,$650 
110,2022 BMW i4 eDrive40 Gran Coupe (18 inch wheels),"Automatic (A1), Electricity",109,$650 
111,2019 smart EQ fortwo (coupe),"Automatic (A1), Electricity",108,$650 
112,2018 smart fortwo electric drive coupe,"Automatic (A1), Electricity",108,$650 
113,2017 smart fortwo electric drive coupe,"Automatic (A1), Electricity",108,$650 
114,2019 Kia Soul Electric,"Automatic (A1), Electricity",108,$650 
115,2018 Kia Soul Electric,"Automatic (A1), Electricity",108,$650 
116,2022 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,$650 
117,2021 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,$650 
118,2020 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,$650 
119,2019 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,$650 
120,2021 MINI Cooper SE Hardtop 2 door,"Automatic (A1), Electricity",108,$650 
121,2020 MINI Cooper SE Hardtop 2 door,"Automatic (A1), Electricity",108,$650 
122,2016 smart fortwo electric drive convertible,"Automatic (A1), Electricity",107,$650 
123,2016 smart fortwo electric drive coupe,"Automatic (A1), Electricity",107,$650 
124,2018 Ford Focus Electric,"Automatic (A1), Electricity",107,$650 
125,2017 Ford Focus Electric,"Automatic (A1), Electricity",107,$650 
126,2022 Volkswagen ID.4 Pro,"Automatic (A1), Electricity",107,$650 
127,2022 Polestar 2 Single Motor,"Automatic (A1), Electricity",107,$650 
128,2017 Kia Soul Electric,"Automatic (A1), Electricity",105,$650 
129,2016 Kia Soul Electric,"Automatic (A1), Electricity",105,$650 
130,2022 Kia EV6 AWD (Long Range),"Automatic (A1), Electricity",105,$650 
131,2016 Ford Focus Electric,"Automatic (A1), Electricity",105,$650 
132,2021 Tesla Model X Long Range Plus,"Automatic (A1), Electricity",105,$650 
133,2020 Tesla Model X Long Range Plus,"Automatic (A1), Electricity",105,$700 
134,2022 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,$700 
135,2021 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,$700 
136,2020 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,$700 
137,2019 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,$700 
138,2020 Tesla Model S Performance (19in Wheels),"Automatic (A1), Electricity",104,$700 
139,2019 Tesla Model S Performance (19in Wheels),"Automatic (A1), Electricity",104,$700 
140,2017 Tesla Model S AWD - 90D,"Automatic (A1), Electricity",104,$650 
141,2017 Tesla Model S AWD - 60D,"Automatic (A1), Electricity",104,$650 
142,2016 Tesla Model S AWD - 60D,"Automatic (A1), Electricity",104,$650 
143,2022 Ford Mustang Mach-E RWD,"Automatic (A1), Electricity",103,$700 
144,2019 Tesla Model S 75D,"Automatic (A1), Electricity",103,$700 
145,2018 Tesla Model S 75D,"Automatic (A1), Electricity",103,$700 
146,2017 Tesla Model S AWD - 75D,"Automatic (A1), Electricity",103,$700 
147,2016 Tesla Model S AWD - 75D,"Automatic (A1), Electricity",103,$700 
148,2016 Tesla Model S AWD - 90D,"Automatic (A1), Electricity",103,$700 
149,2019 smart EQ fortwo (convertible),"Automatic (A1), Electricity",102,$700 
150,2018 smart fortwo electric drive convertible,"Automatic (A1), Electricity",102,$700 
151,2017 smart fortwo electric drive convertible,"Automatic (A1), Electricity",102,$700 
152,2022 Volkswagen ID.4 Pro S,"Automatic (A1), Electricity",102,$700 
153,2022 Tesla Model X,"Automatic (A1), Electricity",102,$700 
154,2019 Tesla Model S 100D,"Automatic (A1), Electricity",102,$700 
155,2018 Tesla Model S 100D,"Automatic (A1), Electricity",102,$700 
156,2017 Tesla Model S AWD - 100D,"Automatic (A1), Electricity",102,$700 
157,2022 Ford Mustang Mach-E CAL RT 1 ER RWD,"Automatic (A1), Electricity",101,$700 
158,2021 Ford Mustang Mach-E RWD California Route 1,"Automatic (A1), Electricity",101,$700 
159,2022 Volkswagen ID.4 AWD Pro,"Automatic (A1), Electricity",101,$700 
160,2020 Tesla Model X Standard Range,"Automatic (A1), Electricity",101,$700 
161,2022 Mercedes-Benz EQB 300 4matic,"Automatic (A1), Electricity",101,$700 
162,2022 Tesla Model S Plaid (21 inch wheels),"Automatic (A1), Electricity",101,$700 
163,2021 Tesla Model S Plaid (21inch wheels),"Automatic (A1), Electricity",101,$700 
164,2016 Tesla Model S AWD - 70D,"Automatic (A1), Electricity",101,$700 
165,2021 Ford Mustang Mach-E RWD,"Automatic (A1), Electricity",100,$700 
166,2016 Tesla Model S AWD - 85D,"Automatic (A1), Electricity",100,$700 
167,2021 Volkswagen ID.4 Pro,"Automatic (A1), Electricity",99,$700 
168,2022 BMW i4 eDrive40 Gran Coupe (19 inch wheels),"Automatic (A1), Electricity",99,$700 
169,2017 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",99,$700 
170,2016 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",99,$700 
171,2022 Hyundai Ioniq 5 AWD (Long Range),"Automatic (A1), Electricity",98,$700 
172,2022 Ford Mustang Mach-E CAL RT 1 ER AWD,"Automatic (A1), Electricity",98,$700 
173,2022 Tesla Model X Plaid (20 inch wheels),"Automatic (A1), Electricity",98,$700 
174,2017 Tesla Model S (75 kW-hr battery pack),"Automatic (A1), Electricity",98,$700 
175,2016 Tesla Model S (75 kW-hr battery pack),"Automatic (A1), Electricity",98,$700 
176,2018 Tesla Model S 75kWh,"Automatic (A1), Electricity",98,$700 
177,2017 Tesla Model S AWD - P100D,"Automatic (A1), Electricity",98,$750 
178,2016 Tesla Model S AWD - P100D,"Automatic (A1), Electricity",98,$750 
179,2019 Tesla Model S P100D,"Automatic (A1), Electricity",98,$750 
180,2018 Tesla Model S P100D,"Automatic (A1), Electricity",98,$750 
181,2022 Ford Mustang Mach-E RWD Extended,"Automatic (A1), Electricity",97,$750 
182,2021 Ford Mustang Mach-E RWD Extended,"Automatic (A1), Electricity",97,$750 
183,2021 Volkswagen ID.4 1st,"Automatic (A1), Electricity",97,$750 
184,2021 Volkswagen ID.4 Pro S,"Automatic (A1), Electricity",97,$750 
185,2021 Volkswagen ID.4 AWD Pro,"Automatic (A1), Electricity",97,$750 
186,2021 Tesla Model X Performance (20in Wheels),"Automatic (A1), Electricity",97,$750 
187,2020 Tesla Model S Performance (21in Wheels),"Automatic (A1), Electricity",97,$750 
188,2019 Tesla Model S Performance (21in Wheels),"Automatic (A1), Electricity",97,$750 
189,2022 Mercedes-Benz EQS 450 Plus,"Automatic (A1), Electricity",97,$750 
190,2020 Tesla Model X Long Range,"Automatic (A1), Electricity",96,$750 
191,2019 Tesla Model X Long Range,"Automatic (A1), Electricity",96,$750 
192,2022 Mercedes-Benz EQB 350 4matic,"Automatic (A1), Electricity",96,$750 
193,2021 Tesla Model S Performance (21in Wheels),"Automatic (A1), Electricity",96,$750 
194,2022 BMW i4 M50 Gran Coupe (19 inch wheels),"Automatic (A1), Electricity",96,$750 
195,2022 Volkswagen ID.4 AWD Pro S,"Automatic (A1), Electricity",95,$750 
196,2022 Audi Q4 e-tron quattro,"Automatic (A1), Electricity",95,$750 
197,2022 Audi Q4 e-tron Sportback quattro,"Automatic (A1), Electricity",95,$750 
198,2017 Tesla Model S AWD - P90D,"Automatic (A1), Electricity",95,$750 
199,2022 Mercedes-Benz EQS 580 4matic,"Automatic (A1), Electricity",95,$750 
200,2016 Tesla Model S AWD - P90D,"Automatic (A1), Electricity",95,$750 
201,2021 Ford Mustang Mach-E AWD,"Automatic (A1), Electricity",93,$750 
202,2022 Ford Mustang Mach-E AWD,"Automatic (A1), Electricity",93,$750 
203,2021 Volkswagen ID.4 AWD Pro S,"Automatic (A1), Electricity",93,$750 
204,2019 Tesla Model X 75D,"Automatic (A1), Electricity",93,$750 
205,2018 Tesla Model X 75D,"Automatic (A1), Electricity",93,$750 
206,2017 Tesla Model X AWD - 75D,"Automatic (A1), Electricity",93,$750 
207,2016 Tesla Model X AWD - 75D,"Automatic (A1), Electricity",93,$750 
208,2017 Tesla Model X AWD - 60D,"Automatic (A1), Electricity",93,$750 
209,2016 Tesla Model X AWD - 60D,"Automatic (A1), Electricity",93,$750 
210,2016 Tesla Model S AWD - P85D,"Automatic (A1), Electricity",93,$750 
211,2022 Mazda MX-30,"Automatic (A1), Electricity",92,$750 
212,2021 Polestar 2,"Automatic (A1), Electricity",92,$750 
213,2017 Tesla Model X AWD - 90D,"Automatic (A1), Electricity",92,$800 
214,2016 Tesla Model X AWD - 90D,"Automatic (A1), Electricity",92,$800 
215,2022 Ford Mustang Mach-E AWD Extended,"Automatic (A1), Electricity",91,$800 
216,2022 Tesla Model X Plaid (22 inch wheels),"Automatic (A1), Electricity",91,$800 
217,2021 Ford Mustang Mach-E AWD Extended,"Automatic (A1), Electricity",90,$800 
218,2020 Tesla Model X Performance (20in Wheels),"Automatic (A1), Electricity",90,$800 
219,2022 Polestar 2 Dual Motor,"Automatic (A1), Electricity",89,$800 
220,2017 Tesla Model X AWD - P90D,"Automatic (A1), Electricity",89,$800 
221,2016 Tesla Model X AWD - P90D,"Automatic (A1), Electricity",89,$800 
222,2016 Tesla Model S (70 kW-hr battery pack),"Automatic (A1), Electricity",89,$800 
223,2016 Tesla Model S (85 kW-hr battery pack),"Automatic (A1), Electricity",89,$800 
224,2016 Tesla Model S (90 kW-hr battery pack),"Automatic (A1), Electricity",89,$800 
225,2016 BMW i3 REX,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",117,$800 
226,2017 BMW i3 REX  (94 Amp-hour battery),"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",39,$800 
227,2018 BMW i3 (94Ah) with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",111,$800 
228,2018 BMW i3s (94Ah) with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",35,$800 
229,2022 Volvo C40 Recharge twin,"Automatic (A1), Electricity",109,$800 
230,2019 Tesla Model X 100D,"Automatic (A1), Electricity",35,$800 
231,2018 Tesla Model X 100D,"Automatic (A1), Electricity",109,$800 
232,2017 Tesla Model X AWD - 100D,"Automatic (A1), Electricity",35,$800 
233,2021 BMW i3 with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",87,$800 
234,2020 BMW i3 with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",87,$800 
235,2019 BMW i3 with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",87,$800 
236,2021 BMW i3s with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",87,$800 
237,2020 BMW i3s with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",100,$800 
238,2019 BMW i3s with Range Extender,"0.6 L, 2 cyl, Automatic (A1), Premium Gas or Electricity",31,$800 
239,2021 Tesla Model X Performance (22in Wheels),"Automatic (A1), Electricity",100,$800 
240,2022 BMW iX xDrive50 (20 inch wheels),"Automatic (A1), Electricity",31,$800 
241,2022 BMW iX xDrive50 (22 inch wheels),"Automatic (A1), Electricity",100,$800 
242,2017 Tesla Model X AWD - P100D,"Automatic (A1), Electricity",31,$800 
243,2016 Tesla Model X AWD - P100D,"Automatic (A1), Electricity",100,$800 
244,2022 Volvo XC40 Recharge twin,"Automatic (A1), Electricity",31,$850 
245,2019 Tesla Model X P100D,"Automatic (A1), Electricity",100,$850 
246,2018 Tesla Model X P100D,"Automatic (A1), Electricity",31,$850 
247,2022 Ford Mustang Mach-E GT,"Automatic (A1), Electricity",100,$850 
248,2021 Ford Mustang Mach-E GT,"Automatic (A1), Electricity",31,$850 
249,2017 Mercedes-Benz B250e,"Automatic (A1), Electricity",86,$850 
250,2016 Mercedes-Benz B250e,"Automatic (A1), Electricity",84,$850 
251,2022 Porsche Taycan GTS,"Automatic (A2), Electricity",83,$850 
252,2022 BMW iX xDrive50 (21 inch wheels),"Automatic (A1), Electricity",83,$850 
253,2022 Ford Mustang Mach-E GT Performance,"Automatic (A1), Electricity",82,$850 
254,2021 Ford Mustang Mach-E GT Performance,"Automatic (A1), Electricity",82,$850 
255,2022 Audi e-tron GT,"Automatic (A2), Electricity",82,$850 
256,2022 Audi RS e-tron GT,"Automatic (A2), Electricity",81,$900 
257,2022 Porsche Taycan GTS ST,"Automatic (A2), Electricity",80,$900 
258,2022 BMW i4 M50 Gran Coupe (20 inch wheels),"Automatic (A1), Electricity",80,$900 
259,2019 Chevrolet Volt,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas or Electricity",106,$800 
260,2021 Volvo XC40 AWD BEV,"Automatic (A1), Electricity",42,$900 
261,2020 Tesla Model X Performance (22in Wheels),"Automatic (A1), Electricity",79,$900 
262,2019 Tesla Model X Performance (22in Wheels),"Automatic (A1), Electricity",79,$900 
263,2022 Porsche Taycan 4S Perf Battery,"Automatic (A2), Electricity",79,$900 
264,2021 Porsche Taycan 4S Perf Battery,"Automatic (A2), Electricity",79,$900 
265,2022 Porsche Taycan Perf Battery,"Automatic (A2), Electricity",79,$900 
266,2021 Porsche Taycan Perf Battery,"Automatic (A2), Electricity",79,$850 
267,2017 Toyota Prius Prime,"1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",79,$750 
268,2022 Toyota Prius Prime,"1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",133,$750 
269,2021 Toyota Prius Prime,"1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",54,$750 
270,2020 Toyota Prius Prime,"1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",133,$750 
271,2019 Toyota Prius Prime,"1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",54,$750 
272,2018 Toyota Prius Prime,"1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",133,$750 
273,2021 Audi e-tron,"Automatic (A1), Electricity",54,$900 
274,2022 Audi e-tron quattro,"Automatic (A1), Electricity",133,$900 
275,2018 Chevrolet Volt,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas or Electricity",54,$800 
276,2017 Chevrolet Volt,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas or Electricity",133,$800 
277,2016 Chevrolet Volt,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas or Electricity",54,$800 
278,2021 Audi e-tron Sportback,"Automatic (A1), Electricity",133,$900 
279,2020 Audi e-tron Sportback,"Automatic (A1), Electricity",54,$900 
280,2022 Audi e-tron Sportback quattro,"Automatic (A1), Electricity",78,$900 
281,2022 Mercedes-Benz AMG EQS 4matic Plus,"Automatic (A1), Electricity",78,$900 
282,2022 Porsche Taycan 4S Perf Battery Plus,"Automatic (A2), Electricity",106,$900 
283,2021 Porsche Taycan 4S Perf Battery Plus,"Automatic (A2), Electricity",42,$900 
284,2021 Honda Clarity Plug-in Hybrid,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",106,$800 
285,2020 Honda Clarity Plug-in Hybrid,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",42,$800 
286,2019 Honda Clarity Plug-in Hybrid,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",106,$800 
287,2018 Honda Clarity Plug-in Hybrid,"1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",42,$800 
288,2020 Jaguar I-Pace,"Automatic (A1), Electricity",77,$950 
289,2019 Jaguar I-Pace,"Automatic (A1), Electricity",77,$950 
290,2021 Jaguar I-Pace EV400,"Automatic (A1), Electricity",77,$950 
291,2022 Hyundai Ioniq Plug-in Hybrid,"1.6 L, 4 cyl, Automatic (AM-S6), Regular Gas and Electricity",77,$800 
292,2021 Hyundai Ioniq Plug-in Hybrid,"1.6 L, 4 cyl, Automatic (AM-S6), Regular Gas and Electricity",77,$800 
293,2020 Hyundai Ioniq Plug-in Hybrid,"1.6 L, 4 cyl, Automatic (AM6), Regular Gas and Electricity",77,$800 
294,2019 Hyundai Ioniq Plug-in Hybrid,"1.6 L, 4 cyl, Automatic (AM6), Regular Gas and Electricity",110,$800 
295,2018 Hyundai Ioniq Plug-in Hybrid,"1.6 L, 4 cyl, Automatic (AM6), Regular Gas and Electricity",42,$800 
296,2022 Porsche Taycan 4 Cross Turismo,"Automatic (A2), Electricity",110,$950 
297,2021 Porsche Taycan 4 Cross Turismo,"Automatic (A2), Electricity",42,$950 
298,2022 Porsche Taycan 4S Cross Turismo,"Automatic (A2), Electricity",110,$950 
299,2021 Porsche Taycan 4S Cross Turismo,"Automatic (A2), Electricity",42,$950 
300,2022 Audi e-tron S Sportback (20 inch wheels),"Automatic (A1), Electricity",75,$950 
301,2022 Porsche Taycan Perf Battery Plus,"Automatic (A2), Electricity",75,$950 
302,2021 Porsche Taycan Perf Battery Plus,"Automatic (A2), Electricity",75,$950 
303,2019 Audi e-tron,"Automatic (A1), Electricity",74,$950 
304,2022 Porsche Taycan Turbo S Cross Turismo,"Automatic (A2), Electricity",73,$950 
305,2021 Porsche Taycan Turbo S Cross Turismo,"Automatic (A2), Electricity",73,$950 
306,2022 Audi e-tron S (20in wheels),"Automatic (A1), Electricity",73,$950 
307,2022 Porsche Taycan Turbo,"Automatic (A2), Electricity",73,$950 
308,2021 Porsche Taycan Turbo,"Automatic (A2), Electricity",73,$950 
309,2020 BYD e6,"Automatic (A1), Electricity",72,"$1,000 "
310,2018 BYD e6,"Automatic (A1), Electricity",72,"$1,000 "
311,2017 BYD e6,"Automatic (A1), Electricity",72,"$1,000 "
312,2016 BYD e6,"Automatic (A1), Electricity",72,"$1,000 "
313,2022 Porsche Taycan Turbo Cross Turismo,"Automatic (A2), Electricity",72,"$1,000 "
314,2021 Porsche Taycan Turbo Cross Turismo,"Automatic (A2), Electricity",72,"$1,000 "
315,2022 Ford F-150 Lightning 4WD Extended Range,"Automatic (A1), Electricity",70,"$1,000 "
316,2022 Rivian R1T,"Automatic (A1), Electricity",70,"$1,000 "
317,2022 Porsche Taycan Turbo S,"Automatic (A2), Electricity",70,"$1,000 "
318,2021 Porsche Taycan Turbo S,"Automatic (A2), Electricity",70,"$1,000 "
319,2022 Rivian R1S,"Automatic (A1), Electricity",69,"$1,000 "
320,2020 Porsche Taycan 4S Perf Battery Plus,"Automatic (A2), Electricity",69,"$1,050 "
321,2020 Porsche Taycan Turbo,"Automatic (A2), Electricity",69,"$1,000 "
322,2022 Ford F-150 Lightning 4WD,"Automatic (A1), Electricity",68,"$1,050 "
323,2020 Porsche Taycan Turbo S,"Automatic (A2), Electricity",68,"$1,050 "
324,2022 Ford Escape FWD PHEV,"2.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",105,$900 
